Start date;End date;Germany/Luxembourg [€/MWh] Calculated resolutions
Mar 15, 2026 12:00 AM;Mar 15, 2026 1:00 AM;137.34
Mar 15, 2026 1:00 AM;Mar 15, 2026 2:00 AM;133.73
Mar 15, 2026 2:00 AM;Mar 15, 2026 3:00 AM;124.96
Mar 15, 2026 3:00 AM;Mar 15, 2026 4:00 AM;123.53
Mar 15, 2026 4:00 AM;Mar 15, 2026 5:00 AM;122.18
Mar 15, 2026 5:00 AM;Mar 15, 2026 6:00 AM;124.12
Mar 15, 2026 6:00 AM;Mar 15, 2026 7:00 AM;124.39
Mar 15, 2026 7:00 AM;Mar 15, 2026 8:00 AM;118.46
Mar 15, 2026 8:00 AM;Mar 15, 2026 9:00 AM;109.1
Mar 15, 2026 9:00 AM;Mar 15, 2026 10:00 AM;94.77
Mar 15, 2026 10:00 AM;Mar 15, 2026 11:00 AM;87.31
Mar 15, 2026 11:00 AM;Mar 15, 2026 12:00 PM;72.21
Mar 15, 2026 12:00 PM;Mar 15, 2026 1:00 PM;52.97
Mar 15, 2026 1:00 PM;Mar 15, 2026 2:00 PM;36.46
Mar 15, 2026 2:00 PM;Mar 15, 2026 3:00 PM;37.2
Mar 15, 2026 3:00 PM;Mar 15, 2026 4:00 PM;63.08
Mar 15, 2026 4:00 PM;Mar 15, 2026 5:00 PM;89.25
Mar 15, 2026 5:00 PM;Mar 15, 2026 6:00 PM;127.91
Mar 15, 2026 6:00 PM;Mar 15, 2026 7:00 PM;149.12
Mar 15, 2026 7:00 PM;Mar 15, 2026 8:00 PM;131.87
Mar 15, 2026 8:00 PM;Mar 15, 2026 9:00 PM;108.48
Mar 15, 2026 9:00 PM;Mar 15, 2026 10:00 PM;91.88
Mar 15, 2026 10:00 PM;Mar 15, 2026 11:00 PM;82.86
Mar 15, 2026 11:00 PM;Mar 16, 2026 12:00 AM;64.02
Mar 16, 2026 12:00 AM;Mar 16, 2026 1:00 AM;34.17
Mar 16, 2026 1:00 AM;Mar 16, 2026 2:00 AM;23.33
Mar 16, 2026 2:00 AM;Mar 16, 2026 3:00 AM;17.59
Mar 16, 2026 3:00 AM;Mar 16, 2026 4:00 AM;14.14
Mar 16, 2026 4:00 AM;Mar 16, 2026 5:00 AM;20.06
Mar 16, 2026 5:00 AM;Mar 16, 2026 6:00 AM;37.43
Mar 16, 2026 6:00 AM;Mar 16, 2026 7:00 AM;66.19
Mar 16, 2026 7:00 AM;Mar 16, 2026 8:00 AM;95.57
Mar 16, 2026 8:00 AM;Mar 16, 2026 9:00 AM;95.98
Mar 16, 2026 9:00 AM;Mar 16, 2026 10:00 AM;73.1
Mar 16, 2026 10:00 AM;Mar 16, 2026 11:00 AM;42.6
Mar 16, 2026 11:00 AM;Mar 16, 2026 12:00 PM;17.37
Mar 16, 2026 12:00 PM;Mar 16, 2026 1:00 PM;12.04
Mar 16, 2026 1:00 PM;Mar 16, 2026 2:00 PM;15.88
Mar 16, 2026 2:00 PM;Mar 16, 2026 3:00 PM;42.17
Mar 16, 2026 3:00 PM;Mar 16, 2026 4:00 PM;64.45
Mar 16, 2026 4:00 PM;Mar 16, 2026 5:00 PM;106.21
Mar 16, 2026 5:00 PM;Mar 16, 2026 6:00 PM;138.6
Mar 16, 2026 6:00 PM;Mar 16, 2026 7:00 PM;165.04
Mar 16, 2026 7:00 PM;Mar 16, 2026 8:00 PM;179.89
Mar 16, 2026 8:00 PM;Mar 16, 2026 9:00 PM;154.78
Mar 16, 2026 9:00 PM;Mar 16, 2026 10:00 PM;125.71
Mar 16, 2026 10:00 PM;Mar 16, 2026 11:00 PM;121.91
Mar 16, 2026 11:00 PM;Mar 17, 2026 12:00 AM;99.77
Mar 17, 2026 12:00 AM;Mar 17, 2026 1:00 AM;113.67
Mar 17, 2026 1:00 AM;Mar 17, 2026 2:00 AM;105.59
Mar 17, 2026 2:00 AM;Mar 17, 2026 3:00 AM;106.42
Mar 17, 2026 3:00 AM;Mar 17, 2026 4:00 AM;106.52
Mar 17, 2026 4:00 AM;Mar 17, 2026 5:00 AM;110.03
Mar 17, 2026 5:00 AM;Mar 17, 2026 6:00 AM;119.92
Mar 17, 2026 6:00 AM;Mar 17, 2026 7:00 AM;147.97
Mar 17, 2026 7:00 AM;Mar 17, 2026 8:00 AM;167.98
Mar 17, 2026 8:00 AM;Mar 17, 2026 9:00 AM;152.51
Mar 17, 2026 9:00 AM;Mar 17, 2026 10:00 AM;124.07
Mar 17, 2026 10:00 AM;Mar 17, 2026 11:00 AM;108.64
Mar 17, 2026 11:00 AM;Mar 17, 2026 12:00 PM;100.65
Mar 17, 2026 12:00 PM;Mar 17, 2026 1:00 PM;95.23
Mar 17, 2026 1:00 PM;Mar 17, 2026 2:00 PM;96.77
Mar 17, 2026 2:00 PM;Mar 17, 2026 3:00 PM;99.33
Mar 17, 2026 3:00 PM;Mar 17, 2026 4:00 PM;112.11
Mar 17, 2026 4:00 PM;Mar 17, 2026 5:00 PM;131.78
Mar 17, 2026 5:00 PM;Mar 17, 2026 6:00 PM;162.2
Mar 17, 2026 6:00 PM;Mar 17, 2026 7:00 PM;207.3
Mar 17, 2026 7:00 PM;Mar 17, 2026 8:00 PM;170.38
Mar 17, 2026 8:00 PM;Mar 17, 2026 9:00 PM;144.24
Mar 17, 2026 9:00 PM;Mar 17, 2026 10:00 PM;129.79
Mar 17, 2026 10:00 PM;Mar 17, 2026 11:00 PM;114.24
Mar 17, 2026 11:00 PM;Mar 18, 2026 12:00 AM;100.46
Mar 18, 2026 12:00 AM;Mar 18, 2026 1:00 AM;89.8
Mar 18, 2026 1:00 AM;Mar 18, 2026 2:00 AM;86.73
Mar 18, 2026 2:00 AM;Mar 18, 2026 3:00 AM;85.69
Mar 18, 2026 3:00 AM;Mar 18, 2026 4:00 AM;86.87
Mar 18, 2026 4:00 AM;Mar 18, 2026 5:00 AM;88.84
Mar 18, 2026 5:00 AM;Mar 18, 2026 6:00 AM;100.06
Mar 18, 2026 6:00 AM;Mar 18, 2026 7:00 AM;130.74
Mar 18, 2026 7:00 AM;Mar 18, 2026 8:00 AM;133.59
Mar 18, 2026 8:00 AM;Mar 18, 2026 9:00 AM;99.94
Mar 18, 2026 9:00 AM;Mar 18, 2026 10:00 AM;62.95
Mar 18, 2026 10:00 AM;Mar 18, 2026 11:00 AM;10
Mar 18, 2026 11:00 AM;Mar 18, 2026 12:00 PM;-1.62
Mar 18, 2026 12:00 PM;Mar 18, 2026 1:00 PM;-2.31
Mar 18, 2026 1:00 PM;Mar 18, 2026 2:00 PM;-2.71
Mar 18, 2026 2:00 PM;Mar 18, 2026 3:00 PM;0.22
Mar 18, 2026 3:00 PM;Mar 18, 2026 4:00 PM;47.19
Mar 18, 2026 4:00 PM;Mar 18, 2026 5:00 PM;107.03
Mar 18, 2026 5:00 PM;Mar 18, 2026 6:00 PM;145.21
Mar 18, 2026 6:00 PM;Mar 18, 2026 7:00 PM;177.62
Mar 18, 2026 7:00 PM;Mar 18, 2026 8:00 PM;170.2
Mar 18, 2026 8:00 PM;Mar 18, 2026 9:00 PM;148.49
Mar 18, 2026 9:00 PM;Mar 18, 2026 10:00 PM;132.06
Mar 18, 2026 10:00 PM;Mar 18, 2026 11:00 PM;123.78
Mar 18, 2026 11:00 PM;Mar 19, 2026 12:00 AM;113.38
Mar 19, 2026 12:00 AM;Mar 19, 2026 1:00 AM;109.25
Mar 19, 2026 1:00 AM;Mar 19, 2026 2:00 AM;112.64
Mar 19, 2026 2:00 AM;Mar 19, 2026 3:00 AM;113.99
Mar 19, 2026 3:00 AM;Mar 19, 2026 4:00 AM;115.53
Mar 19, 2026 4:00 AM;Mar 19, 2026 5:00 AM;123.28
Mar 19, 2026 5:00 AM;Mar 19, 2026 6:00 AM;132.78
Mar 19, 2026 6:00 AM;Mar 19, 2026 7:00 AM;160.13
Mar 19, 2026 7:00 AM;Mar 19, 2026 8:00 AM;158.24
Mar 19, 2026 8:00 AM;Mar 19, 2026 9:00 AM;138.6
Mar 19, 2026 9:00 AM;Mar 19, 2026 10:00 AM;90.9
Mar 19, 2026 10:00 AM;Mar 19, 2026 11:00 AM;55.3
Mar 19, 2026 11:00 AM;Mar 19, 2026 12:00 PM;7.87
Mar 19, 2026 12:00 PM;Mar 19, 2026 1:00 PM;0
Mar 19, 2026 1:00 PM;Mar 19, 2026 2:00 PM;2.53
