Datum von;Datum bis;Deutschland/Luxemburg [€/MWh] Berechnete Auflösungen
01.04.2025 00:00;01.04.2025 01:00;101,56
01.04.2025 01:00;01.04.2025 02:00;95,02
01.04.2025 02:00;01.04.2025 03:00;92,91
01.04.2025 03:00;01.04.2025 04:00;93,50
01.04.2025 04:00;01.04.2025 05:00;91,43
01.04.2025 05:00;01.04.2025 06:00;100,71
01.04.2025 06:00;01.04.2025 07:00;129,46
01.04.2025 07:00;01.04.2025 08:00;179,96
01.04.2025 08:00;01.04.2025 09:00;159,37
01.04.2025 09:00;01.04.2025 10:00;108,47
01.04.2025 10:00;01.04.2025 11:00;86,17
01.04.2025 11:00;01.04.2025 12:00;70,26
01.04.2025 12:00;01.04.2025 13:00;53,15
01.04.2025 13:00;01.04.2025 14:00;11,57
01.04.2025 14:00;01.04.2025 15:00;10,89
01.04.2025 15:00;01.04.2025 16:00;26,70
01.04.2025 16:00;01.04.2025 17:00;65,23
01.04.2025 17:00;01.04.2025 18:00;82,80
01.04.2025 18:00;01.04.2025 19:00;122,39
01.04.2025 19:00;01.04.2025 20:00;155,72
01.04.2025 20:00;01.04.2025 21:00;138,00
01.04.2025 21:00;01.04.2025 22:00;110,90
01.04.2025 22:00;01.04.2025 23:00;95,64
01.04.2025 23:00;02.04.2025 00:00;79,45
02.04.2025 00:00;02.04.2025 01:00;68,06
02.04.2025 01:00;02.04.2025 02:00;66,93
02.04.2025 02:00;02.04.2025 03:00;66,80
02.04.2025 03:00;02.04.2025 04:00;67,97
02.04.2025 04:00;02.04.2025 05:00;68,90
02.04.2025 05:00;02.04.2025 06:00;82,18
02.04.2025 06:00;02.04.2025 07:00;113,84
02.04.2025 07:00;02.04.2025 08:00;150,31
02.04.2025 08:00;02.04.2025 09:00;124,70
02.04.2025 09:00;02.04.2025 10:00;84,74
02.04.2025 10:00;02.04.2025 11:00;48,38
02.04.2025 11:00;02.04.2025 12:00;0,00
02.04.2025 12:00;02.04.2025 13:00;-4,92
02.04.2025 13:00;02.04.2025 14:00;-20,06
02.04.2025 14:00;02.04.2025 15:00;-21,02
02.04.2025 15:00;02.04.2025 16:00;-10,00
02.04.2025 16:00;02.04.2025 17:00;-1,73
02.04.2025 17:00;02.04.2025 18:00;15,37
02.04.2025 18:00;02.04.2025 19:00;88,84
02.04.2025 19:00;02.04.2025 20:00;125,35
02.04.2025 20:00;02.04.2025 21:00;114,00
02.04.2025 21:00;02.04.2025 22:00;96,07
02.04.2025 22:00;02.04.2025 23:00;82,63
02.04.2025 23:00;03.04.2025 00:00;71,43
03.04.2025 00:00;03.04.2025 01:00;67,00
03.04.2025 01:00;03.04.2025 02:00;67,00
03.04.2025 02:00;03.04.2025 03:00;67,00
03.04.2025 03:00;03.04.2025 04:00;68,95
03.04.2025 04:00;03.04.2025 05:00;71,00
03.04.2025 05:00;03.04.2025 06:00;86,22
03.04.2025 06:00;03.04.2025 07:00;129,71
03.04.2025 07:00;03.04.2025 08:00;162,77
03.04.2025 08:00;03.04.2025 09:00;133,30
03.04.2025 09:00;03.04.2025 10:00;79,11
03.04.2025 10:00;03.04.2025 11:00;40,47
03.04.2025 11:00;03.04.2025 12:00;-0,16
03.04.2025 12:00;03.04.2025 13:00;-1,19
03.04.2025 13:00;03.04.2025 14:00;-8,40
03.04.2025 14:00;03.04.2025 15:00;-5,85
03.04.2025 15:00;03.04.2025 16:00;-0,27
03.04.2025 16:00;03.04.2025 17:00;16,09
03.04.2025 17:00;03.04.2025 18:00;75,00
03.04.2025 18:00;03.04.2025 19:00;138,00
03.04.2025 19:00;03.04.2025 20:00;163,48
03.04.2025 20:00;03.04.2025 21:00;155,88
03.04.2025 21:00;03.04.2025 22:00;137,03
03.04.2025 22:00;03.04.2025 23:00;113,21
03.04.2025 23:00;04.04.2025 00:00;104,63
04.04.2025 00:00;04.04.2025 01:00;108,34
04.04.2025 01:00;04.04.2025 02:00;103,04
04.04.2025 02:00;04.04.2025 03:00;102,89
04.04.2025 03:00;04.04.2025 04:00;103,61
04.04.2025 04:00;04.04.2025 05:00;105,95
04.04.2025 05:00;04.04.2025 06:00;112,55
04.04.2025 06:00;04.04.2025 07:00;152,67
04.04.2025 07:00;04.04.2025 08:00;180,17
04.04.2025 08:00;04.04.2025 09:00;139,40
04.04.2025 09:00;04.04.2025 10:00;95,68
04.04.2025 10:00;04.04.2025 11:00;65,00
04.04.2025 11:00;04.04.2025 12:00;7,82
04.04.2025 12:00;04.04.2025 13:00;0,00
04.04.2025 13:00;04.04.2025 14:00;-1,31
04.04.2025 14:00;04.04.2025 15:00;-1,21
04.04.2025 15:00;04.04.2025 16:00;-0,13
04.04.2025 16:00;04.04.2025 17:00;29,70
04.04.2025 17:00;04.04.2025 18:00;79,87
04.04.2025 18:00;04.04.2025 19:00;126,35
04.04.2025 19:00;04.04.2025 20:00;167,64
04.04.2025 20:00;04.04.2025 21:00;155,99
04.04.2025 21:00;04.04.2025 22:00;120,67
04.04.2025 22:00;04.04.2025 23:00;106,15
04.04.2025 23:00;05.04.2025 00:00;96,97
05.04.2025 00:00;05.04.2025 01:00;109,23
05.04.2025 01:00;05.04.2025 02:00;102,76
05.04.2025 02:00;05.04.2025 03:00;99,39
05.04.2025 03:00;05.04.2025 04:00;99,40
05.04.2025 04:00;05.04.2025 05:00;98,31
05.04.2025 05:00;05.04.2025 06:00;97,50
05.04.2025 06:00;05.04.2025 07:00;102,98
05.04.2025 07:00;05.04.2025 08:00;105,90
05.04.2025 08:00;05.04.2025 09:00;98,30
05.04.2025 09:00;05.04.2025 10:00;57,16
05.04.2025 10:00;05.04.2025 11:00;0,66
05.04.2025 11:00;05.04.2025 12:00;-0,94
05.04.2025 12:00;05.04.2025 13:00;-24,09
05.04.2025 13:00;05.04.2025 14:00;-47,73
05.04.2025 14:00;05.04.2025 15:00;-49,10
05.04.2025 15:00;05.04.2025 16:00;-29,91
05.04.2025 16:00;05.04.2025 17:00;-4,30
05.04.2025 17:00;05.04.2025 18:00;0,00
05.04.2025 18:00;05.04.2025 19:00;70,00
05.04.2025 19:00;05.04.2025 20:00;99,40
05.04.2025 20:00;05.04.2025 21:00;98,90
05.04.2025 21:00;05.04.2025 22:00;84,25
05.04.2025 22:00;05.04.2025 23:00;78,99
05.04.2025 23:00;06.04.2025 00:00;68,75
06.04.2025 00:00;06.04.2025 01:00;70,45
06.04.2025 01:00;06.04.2025 02:00;61,00
06.04.2025 02:00;06.04.2025 03:00;62,72
06.04.2025 03:00;06.04.2025 04:00;68,28
06.04.2025 04:00;06.04.2025 05:00;69,95
06.04.2025 05:00;06.04.2025 06:00;77,43
06.04.2025 06:00;06.04.2025 07:00;76,54
06.04.2025 07:00;06.04.2025 08:00;78,11
06.04.2025 08:00;06.04.2025 09:00;41,79
06.04.2025 09:00;06.04.2025 10:00;0,10
06.04.2025 10:00;06.04.2025 11:00;-2,00
06.04.2025 11:00;06.04.2025 12:00;-27,56
06.04.2025 12:00;06.04.2025 13:00;-60,01
06.04.2025 13:00;06.04.2025 14:00;-106,31
06.04.2025 14:00;06.04.2025 15:00;-114,57
06.04.2025 15:00;06.04.2025 16:00;-70,00
06.04.2025 16:00;06.04.2025 17:00;-18,95
06.04.2025 17:00;06.04.2025 18:00;1,76
06.04.2025 18:00;06.04.2025 19:00;112,41
06.04.2025 19:00;06.04.2025 20:00;131,56
06.04.2025 20:00;06.04.2025 21:00;132,90
06.04.2025 21:00;06.04.2025 22:00;121,38
06.04.2025 22:00;06.04.2025 23:00;111,84
06.04.2025 23:00;07.04.2025 00:00;100,03
07.04.2025 00:00;07.04.2025 01:00;86,71
07.04.2025 01:00;07.04.2025 02:00;85,00
07.04.2025 02:00;07.04.2025 03:00;81,73
07.04.2025 03:00;07.04.2025 04:00;83,53
07.04.2025 04:00;07.04.2025 05:00;85,45
07.04.2025 05:00;07.04.2025 06:00;98,74
07.04.2025 06:00;07.04.2025 07:00;131,10
07.04.2025 07:00;07.04.2025 08:00;175,97
07.04.2025 08:00;07.04.2025 09:00;144,61
07.04.2025 09:00;07.04.2025 10:00;107,10
07.04.2025 10:00;07.04.2025 11:00;83,37
07.04.2025 11:00;07.04.2025 12:00;65,00
07.04.2025 12:00;07.04.2025 13:00;11,80
07.04.2025 13:00;07.04.2025 14:00;2,19
07.04.2025 14:00;07.04.2025 15:00;3,94
07.04.2025 15:00;07.04.2025 16:00;60,98
07.04.2025 16:00;07.04.2025 17:00;72,00
07.04.2025 17:00;07.04.2025 18:00;102,43
07.04.2025 18:00;07.04.2025 19:00;127,60
07.04.2025 19:00;07.04.2025 20:00;168,45
07.04.2025 20:00;07.04.2025 21:00;165,05
07.04.2025 21:00;07.04.2025 22:00;138,20
07.04.2025 22:00;07.04.2025 23:00;121,02
07.04.2025 23:00;08.04.2025 00:00;105,21
08.04.2025 00:00;08.04.2025 01:00;94,93
08.04.2025 01:00;08.04.2025 02:00;87,83
08.04.2025 02:00;08.04.2025 03:00;89,06
08.04.2025 03:00;08.04.2025 04:00;89,90
08.04.2025 04:00;08.04.2025 05:00;91,62
08.04.2025 05:00;08.04.2025 06:00;105,73
08.04.2025 06:00;08.04.2025 07:00;142,97
08.04.2025 07:00;08.04.2025 08:00;180,55
08.04.2025 08:00;08.04.2025 09:00;136,77
08.04.2025 09:00;08.04.2025 10:00;91,30
08.04.2025 10:00;08.04.2025 11:00;76,47
08.04.2025 11:00;08.04.2025 12:00;61,09
08.04.2025 12:00;08.04.2025 13:00;19,57
08.04.2025 13:00;08.04.2025 14:00;16,83
08.04.2025 14:00;08.04.2025 15:00;28,59
08.04.2025 15:00;08.04.2025 16:00;57,47
08.04.2025 16:00;08.04.2025 17:00;73,33
08.04.2025 17:00;08.04.2025 18:00;90,34
08.04.2025 18:00;08.04.2025 19:00;118,26
08.04.2025 19:00;08.04.2025 20:00;180,40
08.04.2025 20:00;08.04.2025 21:00;171,31
08.04.2025 21:00;08.04.2025 22:00;140,00
08.04.2025 22:00;08.04.2025 23:00;120,47
08.04.2025 23:00;09.04.2025 00:00;105,12
09.04.2025 00:00;09.04.2025 01:00;104,99
09.04.2025 01:00;09.04.2025 02:00;95,99
09.04.2025 02:00;09.04.2025 03:00;94,67
09.04.2025 03:00;09.04.2025 04:00;94,45
09.04.2025 04:00;09.04.2025 05:00;95,79
09.04.2025 05:00;09.04.2025 06:00;109,45
09.04.2025 06:00;09.04.2025 07:00;152,68
09.04.2025 07:00;09.04.2025 08:00;175,56
09.04.2025 08:00;09.04.2025 09:00;131,56
09.04.2025 09:00;09.04.2025 10:00;99,51
09.04.2025 10:00;09.04.2025 11:00;82,71
09.04.2025 11:00;09.04.2025 12:00;59,69
