Datum von;Datum bis;Deutschland/Luxemburg [€/MWh] Berechnete Auflösungen
01.01.2025 00:00;01.01.2025 01:00;2,16
01.01.2025 01:00;01.01.2025 02:00;1,60
01.01.2025 02:00;01.01.2025 03:00;0,00
01.01.2025 03:00;01.01.2025 04:00;-0,01
01.01.2025 04:00;01.01.2025 05:00;-0,01
01.01.2025 05:00;01.01.2025 06:00;-0,06
01.01.2025 06:00;01.01.2025 07:00;-0,09
01.01.2025 07:00;01.01.2025 08:00;-0,01
01.01.2025 08:00;01.01.2025 09:00;-0,01
01.01.2025 09:00;01.01.2025 10:00;-0,04
01.01.2025 10:00;01.01.2025 11:00;-0,03
01.01.2025 11:00;01.01.2025 12:00;-0,10
01.01.2025 12:00;01.01.2025 13:00;-0,05
01.01.2025 13:00;01.01.2025 14:00;-0,10
01.01.2025 14:00;01.01.2025 15:00;-1,01
01.01.2025 15:00;01.01.2025 16:00;-0,01
01.01.2025 16:00;01.01.2025 17:00;-0,01
01.01.2025 17:00;01.01.2025 18:00;0,07
01.01.2025 18:00;01.01.2025 19:00;1,01
01.01.2025 19:00;01.01.2025 20:00;1,48
01.01.2025 20:00;01.01.2025 21:00;1,00
01.01.2025 21:00;01.01.2025 22:00;0,07
01.01.2025 22:00;01.01.2025 23:00;10,05
01.01.2025 23:00;02.01.2025 00:00;7,01
02.01.2025 00:00;02.01.2025 01:00;2,55
02.01.2025 01:00;02.01.2025 02:00;1,56
02.01.2025 02:00;02.01.2025 03:00;3,45
02.01.2025 03:00;02.01.2025 04:00;7,02
02.01.2025 04:00;02.01.2025 05:00;12,75
02.01.2025 05:00;02.01.2025 06:00;30,07
02.01.2025 06:00;02.01.2025 07:00;67,13
02.01.2025 07:00;02.01.2025 08:00;98,83
02.01.2025 08:00;02.01.2025 09:00;121,53
02.01.2025 09:00;02.01.2025 10:00;127,23
02.01.2025 10:00;02.01.2025 11:00;126,35
02.01.2025 11:00;02.01.2025 12:00;119,97
02.01.2025 12:00;02.01.2025 13:00;115,95
02.01.2025 13:00;02.01.2025 14:00;113,90
02.01.2025 14:00;02.01.2025 15:00;122,21
02.01.2025 15:00;02.01.2025 16:00;130,11
02.01.2025 16:00;02.01.2025 17:00;138,59
02.01.2025 17:00;02.01.2025 18:00;152,87
02.01.2025 18:00;02.01.2025 19:00;152,94
02.01.2025 19:00;02.01.2025 20:00;139,15
02.01.2025 20:00;02.01.2025 21:00;130,00
02.01.2025 21:00;02.01.2025 22:00;119,78
02.01.2025 22:00;02.01.2025 23:00;113,42
02.01.2025 23:00;03.01.2025 00:00;82,47
03.01.2025 00:00;03.01.2025 01:00;99,56
03.01.2025 01:00;03.01.2025 02:00;87,53
03.01.2025 02:00;03.01.2025 03:00;85,01
03.01.2025 03:00;03.01.2025 04:00;83,79
03.01.2025 04:00;03.01.2025 05:00;77,50
03.01.2025 05:00;03.01.2025 06:00;79,88
03.01.2025 06:00;03.01.2025 07:00;83,56
03.01.2025 07:00;03.01.2025 08:00;78,43
03.01.2025 08:00;03.01.2025 09:00;82,57
03.01.2025 09:00;03.01.2025 10:00;80,76
03.01.2025 10:00;03.01.2025 11:00;77,64
03.01.2025 11:00;03.01.2025 12:00;70,48
03.01.2025 12:00;03.01.2025 13:00;69,94
03.01.2025 13:00;03.01.2025 14:00;77,80
03.01.2025 14:00;03.01.2025 15:00;78,81
03.01.2025 15:00;03.01.2025 16:00;85,29
03.01.2025 16:00;03.01.2025 17:00;105,51
03.01.2025 17:00;03.01.2025 18:00;116,66
03.01.2025 18:00;03.01.2025 19:00;115,06
03.01.2025 19:00;03.01.2025 20:00;114,91
03.01.2025 20:00;03.01.2025 21:00;113,30
03.01.2025 21:00;03.01.2025 22:00;107,80
03.01.2025 22:00;03.01.2025 23:00;98,22
03.01.2025 23:00;04.01.2025 00:00;88,57
04.01.2025 00:00;04.01.2025 01:00;90,43
04.01.2025 01:00;04.01.2025 02:00;90,29
04.01.2025 02:00;04.01.2025 03:00;90,20
04.01.2025 03:00;04.01.2025 04:00;91,52
04.01.2025 04:00;04.01.2025 05:00;95,95
04.01.2025 05:00;04.01.2025 06:00;102,11
04.01.2025 06:00;04.01.2025 07:00;110,66
04.01.2025 07:00;04.01.2025 08:00;119,96
04.01.2025 08:00;04.01.2025 09:00;128,39
04.01.2025 09:00;04.01.2025 10:00;130,75
04.01.2025 10:00;04.01.2025 11:00;130,34
04.01.2025 11:00;04.01.2025 12:00;128,29
04.01.2025 12:00;04.01.2025 13:00;130,03
04.01.2025 13:00;04.01.2025 14:00;129,85
04.01.2025 14:00;04.01.2025 15:00;136,40
04.01.2025 15:00;04.01.2025 16:00;138,72
04.01.2025 16:00;04.01.2025 17:00;142,00
04.01.2025 17:00;04.01.2025 18:00;151,24
04.01.2025 18:00;04.01.2025 19:00;143,85
04.01.2025 19:00;04.01.2025 20:00;137,96
04.01.2025 20:00;04.01.2025 21:00;129,49
04.01.2025 21:00;04.01.2025 22:00;122,83
04.01.2025 22:00;04.01.2025 23:00;118,29
04.01.2025 23:00;05.01.2025 00:00;109,49
